mark_row_id,mark_sample_row_id,source,fish_origin,fork_length,count,dead
{000003C9-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,75,25,
{000003CA-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,76,14,
{000003CB-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,77,13,
{000003CC-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,78,6,
{000003CD-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,79,8,
{000003CE-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,80,4,
{000003CF-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,81,4,
{000003D0-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,82,2,
{000003D1-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,83,3,
{000003D2-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,54,1,
{000003D3-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,57,1,
{000003D4-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,58,1,
{000003D5-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,59,3,
{000003D6-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,60,3,
{000003D7-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,61,2,
{000003D8-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,62,5,
{000003D9-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,63,3,
{000003DA-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,64,3,
{000003DB-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,65,5,
{000003DC-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,66,5,
{000003DD-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,67,2,
{000003DE-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,68,5,
{000003DF-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,69,5,
{000003E0-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,70,2,
{000003E1-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,71,2,
{000003E2-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,72,2,
{000003E3-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,73,8,
{000003E4-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,74,5,
{000003E5-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,75,11,
{000003E6-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,76,5,
{000003E7-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,77,4,
{000003E8-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,78,5,
{000003E9-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,79,3,
{000003EA-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,80,3,
{000003EB-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,81,3,
{000003EC-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,82,4,
{000003ED-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,83,4,
{000003EE-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,84,2,
{000003EF-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,85,1,
{000003F0-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,86,2,
{000003F1-0000-0000-0000-000000000000},{0000001A-0000-0000-0000-000000000000},MIX,BOTH,95,1,
{000003F2-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,54,1,
{000003F3-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,57,1,
{000003F4-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,58,1,
{000003F5-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,59,3,
{000003F6-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,60,3,
{000003F7-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,61,2,
{000003F8-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,62,5,
{000003F9-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,63,3,
{000003FA-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,64,3,
{000003FB-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,65,5,
{000003FC-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,66,5,
{000003FD-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,67,2,
{000003FE-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,68,5,
{000003FF-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,69,5,
{00000400-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,70,2,
{00000401-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,71,2,
{00000402-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,72,2,
{00000403-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,73,8,
{00000404-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,74,5,
{00000405-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,75,11,
{00000406-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,76,5,
{00000407-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,77,4,
{00000408-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,78,5,
{00000409-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,79,3,
{0000040A-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,80,3,
{0000040B-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,81,3,
{0000040C-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,82,4,
{0000040D-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,83,4,
{0000040E-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,84,2,
{0000040F-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,85,1,
{00000410-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,86,2,
{00000411-0000-0000-0000-000000000000},{00000019-0000-0000-0000-000000000000},MIX,BOTH,95,1,
{00000412-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,46,2,
{00000413-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,47,1,
{00000414-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,48,2,
{00000415-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,50,9,
{00000416-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,51,10,
{00000417-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,52,19,
{00000418-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,53,12,
{00000419-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,54,14,
{0000041A-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,55,10,
{0000041B-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,56,13,
{0000041C-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,57,5,
{0000041D-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,58,3,
{0000041E-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,59,1,
{0000041F-0000-0000-0000-000000000000},{00000001-0000-0000-0000-000000000000},HATCH,CNFH,60,2,
{00000420-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,50,1,
{00000421-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,53,4,
{00000422-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,54,5,
{00000423-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,55,8,
{00000424-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,56,15,
{00000425-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,57,16,
{00000426-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,58,22,
{00000427-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,59,10,
{00000428-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,60,12,
{00000429-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,61,18,
{0000042A-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,62,11,
{0000042B-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,63,8,
{0000042C-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,64,6,
{0000042D-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,65,3,
{0000042E-0000-0000-0000-000000000000},{00000002-0000-0000-0000-000000000000},HATCH,CNFH,66,4,
{0000042F-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,49,2,
{00000430-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,50,2,
{00000431-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,51,2,
{00000432-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,52,2,
{00000433-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,53,2,
{00000434-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,54,4,
{00000435-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,55,12,
{00000436-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,56,6,
{00000437-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,57,12,
{00000438-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,58,8,
{00000439-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,59,7,
{0000043A-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,60,9,
{0000043B-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,61,15,
{0000043C-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,62,9,
{0000043D-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,63,9,
{0000043E-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,64,7,
{0000043F-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,65,10,
{00000440-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,66,5,
{00000441-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,67,5,
{00000442-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,68,3,
{00000443-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,70,1,
{00000444-0000-0000-0000-000000000000},{00000003-0000-0000-0000-000000000000},HATCH,CNFH,71,1,
{00000445-0000-0000-0000-000000000000},{00000004-0000-0000-0000-000000000000},HATCH,CNFH,48,1,
{00000446-0000-0000-0000-000000000000},{00000004-0000-0000-0000-000000000000},HATCH,CNFH,50,2,
{00000447-0000-0000-0000-000000000000},{00000004-0000-0000-0000-000000000000},HATCH,CNFH,51,1,
{00000448-0000-0000-0000-000000000000},{00000004-0000-0000-0000-000000000000},HATCH,CNFH,52,1,
{00000449-0000-0000-0000-000000000000},{00000004-0000-0000-0000-000000000000},HATCH,CNFH,53,4,
